id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable
847584772999149323,l'Antiga Esquerra de l'Eixample,Eixample,41.38476,2.15645,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,1,365,8,35,65,339,255,96,2.93,4.69,4.68,4.38,0,1
847588507534578223,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40258908355928,2.1681534290093403,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,32,365,29,59,89,364,0,0,0.0,4.75,4.87,4.59,0,0
847599115933132304,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40314215034176,2.1661128662353777,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,32,365,0,28,58,333,0,0,0.0,4.75,4.87,4.59,0,0
847604844420406129,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40402,2.16772,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,32,365,28,58,88,363,0,0,0.0,4.75,4.87,4.59,0,0
847746331271185230,la Bordeta,Sants-Montjuïc,41.37293863986212,2.140916925893506,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,31,100,0,0,0,32,186,8,0.27,4.88,5.0,4.63,0,1
847783984008871213,Sants - Badal,Sants-Montjuïc,41.37557,2.12728,Private room in rental unit,Private room,2,1.0,1.0,2.0,31,365,0,0,0,166,62,5,0.17,4.8,4.8,4.8,0,0
847814546386921482,la Barceloneta,Ciutat Vella,41.38563351281395,2.196498953777416,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,31,62,23,53,83,173,0,0,0.0,4.8,4.93,4.57,0,0
848050320876330407,la Barceloneta,Ciutat Vella,41.3805557804608,2.192525064910396,Private room in condo,Private room,2,1.0,1.0,1.0,1,365,18,48,67,202,255,155,5.4,4.4,4.7,4.3,0,1
848262457474180162,Sants,Sants-Montjuïc,41.37223876624482,2.1367289616537404,Private room in rental unit,Private room,2,1.0,1.0,1.0,31,365,24,30,30,205,255,48,1.51,4.73,4.69,4.58,0,0
848278595972213589,Sants,Sants-Montjuïc,41.37256,2.1346,Private room in rental unit,Private room,2,1.0,1.0,1.0,31,365,0,11,41,221,186,59,1.89,4.49,4.42,4.34,0,0
848279467560451212,Sants - Badal,Sants-Montjuïc,41.37436,2.12719,Private room in rental unit,Private room,2,1.0,1.0,2.0,31,365,0,0,0,196,0,1,0.04,5.0,5.0,5.0,0,0
848303850909928336,Sants - Badal,Sants-Montjuïc,41.3752963,2.1261271,Private room in home,Private room,2,1.0,1.0,2.0,31,365,0,0,0,101,0,0,0.0,4.68,4.6850000000000005,4.5,0,0
848326631922310590,el Putxet i el Farró,Sarrià-Sant Gervasi,41.4057322,2.1487462,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,1,365,28,58,82,328,132,37,1.16,4.68,4.78,4.32,1,1
848326797901196254,la Vila de Gràcia,Gràcia,41.40454,2.15062,Entire rental unit,Entire home/apt,6,3.0,3.0,6.0,2,365,17,40,70,345,42,32,1.0,4.44,4.69,4.31,0,1
848367658706230249,el Raval,Ciutat Vella,41.38437,2.16469,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,40,330,0,0,0,196,0,1,0.03,5.0,5.0,5.0,0,0
848421874993561712,Sants,Sants-Montjuïc,41.3736761,2.1401331,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,31,100,18,18,37,312,124,6,0.19,5.0,5.0,4.5,0,1
848429016983911763,Sants,Sants-Montjuïc,41.37473197838518,2.140370755541225,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,31,100,18,18,18,84,124,3,0.19,4.67,4.67,4.33,0,1
848464104678517999,Sants,Sants-Montjuïc,41.3736761,2.1401331,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,31,100,0,0,0,68,248,7,0.22,5.0,4.71,4.86,0,1
848468185492898576,Sants,Sants-Montjuïc,41.3736761,2.1401331,Entire rental unit,Entire home/apt,2,1.0,1.0,3.0,31,100,12,30,36,104,124,5,0.16,5.0,5.0,5.0,0,1
848474193698715561,Hostafrancs,Sants-Montjuïc,41.37429687236968,2.141183865573257,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,31,100,16,16,16,36,255,9,0.31,5.0,4.67,4.56,0,1
848479459435375441,Sants,Sants-Montjuïc,41.3736761,2.1401331,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,31,100,18,18,18,57,186,5,0.16,5.0,4.8,4.8,0,1
848482705451807922,Sants,Sants-Montjuïc,41.3736761,2.1401331,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,31,100,17,17,17,17,248,7,0.22,5.0,5.0,4.86,0,1
848973713586706766,el Barri Gòtic,Ciutat Vella,41.38229732660236,2.1726567787977995,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,3,60,25,52,82,357,162,97,3.0,4.79,4.87,4.66,0,1
849007044170497900,el Putxet i el Farró,Sarrià-Sant Gervasi,41.4057322,2.1487462,Entire serviced apartment,Entire home/apt,6,2.0,2.0,4.0,1,365,23,47,70,310,66,30,0.94,4.73,4.77,4.57,1,1
849010473355090427,el Putxet i el Farró,Sarrià-Sant Gervasi,41.4057322,2.1487462,Entire serviced apartment,Entire home/apt,6,2.0,2.0,3.0,1,365,10,25,49,284,6,2,0.06,5.0,5.0,5.0,1,1
849018981310314253,el Poblenou,Sant Martí,41.39782417612576,2.201354872136124,Room in hotel,Private room,2,1.0,1.0,1.0,1,365,27,56,82,326,12,16,0.5,4.56,4.69,4.13,0,1
849022033420311498,el Putxet i el Farró,Sarrià-Sant Gervasi,41.4057322,2.1487462,Entire serviced apartment,Entire home/apt,6,2.0,3.0,4.0,1,365,9,30,52,276,6,4,0.13,4.75,5.0,5.0,1,1
849033323113738402,el Poblenou,Sant Martí,41.3987005,2.2010575,Room in hotel,Private room,2,1.0,1.0,1.0,1,6,27,32,46,275,90,48,1.55,4.67,4.67,4.48,0,1
849042635414662644,el Poblenou,Sant Martí,41.39968,2.20196,Room in hotel,Private room,2,1.0,1.0,1.0,1,365,7,13,26,200,168,103,3.23,4.84,4.59,4.59,0,1
849327019076693543,Sant Antoni,Eixample,41.38406214359106,2.1636213042287182,Private room in rental unit,Private room,2,0.0,1.0,1.0,60,365,0,0,0,75,0,1,0.04,5.0,5.0,5.0,0,1
849327140939998735,Sant Antoni,Eixample,41.38235293901019,2.1619965264560568,Private room in rental unit,Private room,2,0.0,1.0,1.0,60,365,30,60,90,365,0,1,0.04,5.0,5.0,4.0,0,1
849327243561282742,Sant Antoni,Eixample,41.38251,2.16143,Private room in rental unit,Private room,2,0.0,1.0,1.0,60,365,0,0,0,167,0,0,0.0,4.71,4.83,4.56,0,1
849327508408447831,Sant Antoni,Eixample,41.38458,2.16306,Private room in rental unit,Private room,2,0.0,1.0,1.0,60,365,0,0,0,167,0,0,0.0,4.71,4.83,4.56,0,1
849427626663947834,Vallcarca i els Penitents,Gràcia,41.4121,2.14799,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,7,180,0,0,0,0,0,32,0.98,4.88,4.63,4.78,1,1
849445173497661607,el Raval,Ciutat Vella,41.37948015247736,2.1687352810877227,Private room in rental unit,Private room,2,1.0,1.0,1.0,31,365,0,0,0,257,124,6,0.2,4.67,4.33,4.17,1,0
849729562695392039,Sants - Badal,Sants-Montjuïc,41.375812305016304,2.123126043444407,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,2,365,30,60,90,365,24,11,0.34,4.64,4.73,4.55,1,0
849749777959984368,Sants - Badal,Sants-Montjuïc,41.37423,2.12723,Private room in home,Private room,2,1.0,1.0,2.0,31,365,0,0,0,101,0,1,0.04,3.0,5.0,3.0,0,0
849754301192450068,Sants - Badal,Sants-Montjuïc,41.37416,2.12561,Private room in home,Private room,1,1.0,1.0,1.0,31,365,0,0,0,62,0,0,0.0,4.68,4.6850000000000005,4.5,0,0
849766718986751579,Sants - Badal,Sants-Montjuïc,41.37504,2.12704,Private room in home,Private room,1,1.0,1.0,1.0,31,365,0,0,0,95,0,0,0.0,4.68,4.6850000000000005,4.5,0,0
849950707540307230,el Baix Guinardó,Horta-Guinardó,41.41169328305913,2.16595990931829,Other,Entire home/apt,10,2.5,5.0,7.0,31,1125,30,60,90,365,0,0,0.0,4.71,4.77,4.6,0,1
849983909750726331,l'Antiga Esquerra de l'Eixample,Eixample,41.39424,2.15274,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,32,364,5,5,29,259,192,6,0.2,4.67,5.0,4.33,0,0
850121978094731612,la Dreta de l'Eixample,Eixample,41.39667275516656,2.167151926435653,Private room in rental unit,Private room,1,2.0,2.0,2.0,32,180,26,55,84,260,0,4,0.14,5.0,5.0,5.0,1,0
850413100328985329,el Besòs i el Maresme,Sant Martí,41.41698621086752,2.2141161998263086,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,32,300,0,11,41,63,192,3,0.47,5.0,4.67,5.0,1,0
850440107756355032,la Vila de Gràcia,Gràcia,41.40473,2.1598302,Room in hotel,Private room,5,1.0,1.0,4.0,1,1125,1,4,16,42,255,121,4.27,4.83,4.79,4.64,1,1
850489459842549566,el Poble Sec,Sants-Montjuïc,41.3736943,2.1623135,Entire rental unit,Entire home/apt,3,1.5,2.0,5.0,31,1125,0,2,24,206,186,9,0.3,4.89,4.78,4.78,0,0
850672832784547766,el Raval,Ciutat Vella,41.382707855241485,2.1686476319421293,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,32,365,19,19,19,174,255,10,0.34,4.9,4.8,4.8,1,0
850672884109701527,el Fort Pienc,Eixample,41.39580429999999,2.177609,Private room in rental unit,Private room,1,2.5,1.0,1.0,32,365,29,31,31,273,128,4,0.22,5.0,5.0,5.0,0,0
850684095339937556,la Barceloneta,Ciutat Vella,41.37679569290373,2.189908402796976,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,32,333,21,51,76,277,192,9,0.29,4.56,4.78,4.44,1,0
